source_id,internal_name,display_name_en,display_name_ar,description_en,description_ar,amount_minor,currency,category_path,category_section_id,image_url,published,is_available,sold_out,properties
6a6f91adb40112c97850ae76,pipe-tabaco-malaysia,Pipe Tabaco - MALAYSIA,Pipe Tabaco - MALAYSIA,,,5000,AED,New V60 Beans,69614b90e5ccb143a4cd02b2,https://media.finedinemenu.com/MawZBMZR_/c23da780-dd28-4f20-b17c-cbf6e430638c.jpeg,true,true,false,new
674cb5ee372f00d7a436e1e8,cream-espresso,Cream Espresso,لاتيه المميز لكوتس,,,3700,AED,Signature,674cb57582fe974dd29f2197,https://media.finedinemenu.com/MawZBMZR_/ae2ec51a-5128-4109-a4d9-418421621d47.jpeg,true,true,false,popular
692dc391fc40d2c769727c93,peach-pear-ice-tea,Peach & Pear Ice Tea,Peach & Pear Ice Tea,,,3000,AED,Fine Tea,674cb463f0cee26ce297a6c9,https://media.finedinemenu.com/MawZBMZR_/e83f3fcf-98eb-47a3-9e05-80097b6127ae.jpeg,true,true,false,new
6a6f955d3eda99a46831d20a,banana-matcha,Banana Matcha,Banana Matcha,,,4100,AED,Matcha,6a6f955c3eda99a46831d193,https://media.finedinemenu.com/MawZBMZR_/b39594f9-7490-467a-aa63-627b18f5c98a.jpeg,true,true,false,
695f997e24249e563de3f00e,spicy-tuna-toast,Spicy Tuna Toast,Spicy Tuna Toast,,,3500,AED,BreakFast & Brunch,67484e8d06a82d1000742a01,,true,true,false,new|signature
674c9fef3d079540e0448282,vegan-lentil-soup,Vegan Lentil Soup,Vegan Lentil Soup,"A hearty lentil soup enriched with a variety of vegetables, seasoned with a blend of Middle Eastern spices for an aromatic finish.","A hearty lentil soup enriched with a variety of vegetables, seasoned with a blend of Middle Eastern spices for an aromatic finish.",2200,AED,Lunch & Dinner / Soup,674c9f73f0cee26ce295c3b5,https://media.finedinemenu.com/MawZBMZR_/9180d318-a349-4998-bb42-65691afeefe3.jpeg,true,true,false,
674ee2ca4b443d00c7f02079,crispy-bbq-chicken-salad,Crispy Bbq Chicken Salad,Crispy Bbq Chicken Salad,"Tender chicken tossed in hickory BBQ sauce, combined with crispy lettuce, mixed beans, lemon juice, and a drizzle of ranch BBQ sauce for a smoky and satisfying salad.","Tender chicken tossed in hickory BBQ sauce, combined with crispy lettuce, mixed beans, lemon juice, and a drizzle of ranch BBQ sauce for a smoky and satisfying salad.",4500,AED,Lunch & Dinner / Salad,674d5a20372f00d7a43b98ef,https://media.finedinemenu.com/MawZBMZR_/4d54b3d9-1551-4e52-8fae-922125f40c3a.jpeg,true,true,false,signature
674d5af2372f00d7a43ba076,cajun-fries,Cajun Fries,Cajun Fries,,,1900,AED,Lunch & Dinner / Appetizer,674ca05e8be796a22d729feb,https://media.finedinemenu.com/MawZBMZR_/0b56a77a-84e5-4629-8fbe-888bca6bae9d.jpeg,true,true,false,
675325fb8932a2b28a631c47,mix-fajita,Mix Fajita,Mix Fajita,,,6800,AED,Lunch & Dinner / For The Table,674ca5848be796a22d732881,https://media.finedinemenu.com/MawZBMZR_/46bd41e7-18ce-4029-90fd-9b53eec8f412.jpeg,true,true,false,
674ca5f81cf886ae40b2d23d,beef-shanks,Beef Shanks,Beef Shanks,,,6500,AED,Lunch & Dinner / Main Quotes,674ca5dd1cf886ae40b2cfa0,https://media.finedinemenu.com/MawZBMZR_/a7fdb601-4de1-4133-8624-0b1808648fd6.jpeg,true,true,false,
674ca3c9d2746aa19cf4d7fb,pasta-35,Pasta 35,Pasta 35,,,5800,AED,Lunch & Dinner / Pasta,674ca3a9f0cee26ce296300a,https://media.finedinemenu.com/MawZBMZR_/3067ca4b-9d15-4832-8a17-a7082257d76d.jpeg,true,true,false,
674ca29da17564e113202b60,camel-burger,Camel Burger,Camel Burger,,,5500,AED,Lunch & Dinner / Sandwiches,674ca28a71e1e924975abe51,https://media.finedinemenu.com/MawZBMZR_/48f7e909-4734-446c-acea-20377e01e007.jpeg,true,true,false,signature
